loan_id,event_date,action_type,promised_to_pay_date
100165,2024-03-18,Email,2024-03-20
100166,2023-05-20,SMS,2023-05-24
100166,2023-07-09,Call,2023-07-02
100166,2025-02-22,Call,2025-03-08
100166,2025-08-07,SMS,2025-08-02
100166,2026-02-07,SMS,2026-01-29
100167,2023-07-02,Agent,2023-07-29
100168,2022-07-08,Hardship,2022-07-24
100168,2023-03-06,Hardship,2023-03-21
100171,2025-02-25,Hardship,2025-02-21
100173,2025-11-14,SMS,2025-11-29
100174,2024-05-09,SMS,2024-05-09
100177,2025-01-10,Agent,2025-01-13
100179,2026-01-11,SMS,2026-01-13
100182,2024-04-03,Email,2024-04-06
100185,2022-09-26,Hardship,2022-10-03
100189,2025-06-19,Email,2025-06-22
100191,2025-12-20,Email,2025-12-20
100193,2025-03-14,Email,2025-04-19
100194,2025-09-06,Hardship,2025-09-21
100195,2024-05-28,SMS,2024-06-05
100195,2024-09-09,SMS,2024-09-14
100200,2025-02-08,SMS,2025-03-10
100200,2025-03-16,Hardship,2025-03-30
100200,2025-11-07,Agent,2025-12-09
100202,2024-09-23,Email,2024-10-23
100207,2023-05-29,Email,2023-06-10
100207,2023-12-22,SMS,2024-01-13
100209,2025-04-24,Call,2025-05-02
100210,2025-12-06,Agent,2025-12-07
100210,2025-12-19,Agent,2026-01-03
100211,2024-11-15,Email,2024-11-30
100212,2022-12-16,Hardship,2023-01-05
100212,2023-01-22,Call,2023-01-25
100213,2023-11-16,Agent,2023-12-13
100213,2024-03-11,Agent,2024-03-15
100213,2025-06-28,Hardship,2025-07-05
100213,2025-11-26,SMS,2025-11-28
100214,2024-05-28,Agent,2024-05-25
100214,2024-11-07,Call,2024-11-29
100214,2025-05-26,Email,2025-06-04
100214,2025-06-18,Email,2025-07-02
100219,2024-10-14,Call,2024-10-12
100219,2024-12-05,Email,2024-12-30
100226,2022-10-02,Agent,2022-10-13
100226,2022-12-06,Hardship,2022-12-19
100231,2023-11-24,SMS,2023-12-13
100231,2023-12-14,Call,2023-12-16
100231,2025-11-02,SMS,2025-11-15
100235,2024-04-21,Agent,2024-04-20
100237,2025-10-05,SMS,2025-10-08
100241,2025-07-08,SMS,2025-07-07
100241,2025-08-17,Agent,2025-08-08
100243,2025-09-22,SMS,2025-09-20
100244,2024-10-05,SMS,2024-10-13
100246,2025-07-15,Hardship,2025-08-01
100246,2025-08-17,SMS,2025-08-17
100249,2023-09-19,Call,2023-10-03
100249,2025-02-28,Agent,2025-03-08
100250,2023-04-27,Hardship,2023-05-15
100250,2024-05-03,Email,2024-05-03
100251,2025-08-14,Agent,2025-09-10
100258,2025-11-19,Hardship,2025-12-26
100258,2026-01-24,Email,2026-02-16
100259,2022-11-19,Email,2022-12-16
100259,2023-02-14,Agent,2023-03-21
100259,2023-07-21,Call,2023-07-22
100259,2023-12-29,SMS,2024-01-11
100259,2024-03-22,Agent,2024-03-28
100259,2025-10-16,Hardship,2025-11-09
100262,2022-12-15,Agent,2023-01-05
100264,2024-09-04,Agent,2024-09-23
100264,2025-01-29,Email,2025-02-24
100265,2023-04-08,Hardship,2023-04-14
100266,2024-05-16,Agent,2024-06-01
100266,2024-06-22,Call,2024-06-27
100266,2025-12-02,Call,2025-12-17
100268,2025-02-17,SMS,2025-02-16
100268,2025-08-28,Call,2025-09-19
100270,2023-12-30,Agent,2023-12-20
100271,2023-03-08,Call,2023-03-19
100271,2023-11-07,SMS,2023-11-14
100273,2026-01-21,SMS,2026-01-20
100276,2023-08-16,SMS,2023-09-20
100276,2025-05-21,Hardship,2025-06-02
100276,2025-08-22,Email,2025-09-11
100276,2026-01-28,Hardship,2026-01-22
100277,2024-09-16,Email,2024-09-18
100277,2024-10-24,SMS,2024-10-19
100278,2024-08-30,SMS,2024-09-26
100282,2025-08-05,Email,2025-08-06
100283,2023-05-24,Hardship,2023-05-31
100286,2024-10-19,Email,2024-11-09
100287,2024-01-03,Agent,2023-12-31
100287,2025-02-27,Call,2025-03-11
100288,2024-12-22,Call,2025-01-10
100288,2025-07-29,SMS,2025-08-05
100289,2022-12-14,SMS,2022-12-22
100290,2024-10-19,Email,2024-10-13
100290,2025-01-11,Agent,2025-02-09
100290,2025-02-26,Agent,2025-02-12
100290,2025-03-08,Call,2025-04-01
100294,2023-11-16,SMS,2023-11-15
100294,2025-09-13,Agent,2025-09-30
100295,2023-07-31,Call,2023-07-29
100296,2025-01-08,SMS,2025-02-07
100298,2023-03-29,Call,2023-04-10
100300,2024-01-19,Call,2024-02-07
100301,2024-08-30,Email,2024-08-20
100301,2024-09-18,SMS,2024-10-15
100301,2025-07-15,Call,2025-08-09
100302,2024-03-02,Hardship,2024-03-04
100304,2025-04-11,SMS,2025-04-13
100307,2024-06-19,Agent,2024-07-14
100307,2024-10-02,SMS,2024-09-28
100313,2024-04-24,Hardship,2024-05-24
100313,2024-12-21,Call,2024-12-24
100314,2023-06-21,Email,2023-07-04
100314,2025-06-16,Call,2025-06-24
100317,2025-09-03,Email,2025-09-21
100321,2024-12-08,Agent,2024-12-03
100322,2024-03-30,SMS,2024-04-20
100324,2025-01-10,Call,2025-01-19
100324,2025-04-13,Email,2025-05-03
100324,2025-05-19,Call,2025-06-08
100328,2023-08-11,Agent,2023-08-19
100330,2024-12-30,Call,2024-12-30
100331,2023-02-07,Agent,2023-03-09
100331,2023-06-16,Hardship,2023-06-25
100331,2023-09-09,SMS,2023-10-08
100332,2024-11-05,Call,2024-11-25
100334,2025-06-17,Email,2025-06-17
100337,2022-11-09,Hardship,2022-11-02
100338,2023-04-17,Agent,2023-05-02
100338,2023-08-06,SMS,2023-07-29
100338,2023-10-23,SMS,2023-11-07
100338,2024-02-17,Call,2024-03-06
100338,2025-05-02,SMS,2025-05-21
100338,2025-11-17,Agent,2025-12-13
100341,2025-06-07,Hardship,2025-06-28
100341,2025-12-05,SMS,2025-12-03
100341,2026-02-07,Agent,2026-02-22
100343,2024-01-22,Agent,2024-02-25
100344,2024-03-14,Agent,2024-04-16
100346,2025-05-21,Agent,2025-06-15
100348,2024-09-12,Email,2024-09-12
100348,2025-09-16,Email,2025-10-01
100350,2025-03-18,SMS,2025-03-28
100351,2025-03-07,Email,2025-03-11
100351,2025-12-03,Call,2025-12-17
100353,2022-10-20,Agent,2022-11-16
100353,2024-02-11,Agent,2024-03-04
100353,2024-04-26,Hardship,2024-05-06
100353,2024-05-27,Hardship,2024-05-17
100353,2024-06-23,Hardship,2024-06-30
100353,2025-07-18,Agent,2025-08-08
100353,2025-08-15,Agent,2025-08-28
100354,2022-08-11,Call,2022-08-12
100357,2024-10-26,Hardship,2024-11-10
100358,2025-09-05,Hardship,2025-08-21
100358,2026-02-07,SMS,2026-01-31
100359,2023-03-09,SMS,2023-04-05
100361,2025-07-12,SMS,2025-08-08
100362,2026-02-04,Hardship,2026-03-07
100364,2024-11-15,Email,2024-11-14
100365,2024-09-30,Agent,2024-10-01
100367,2023-06-17,Hardship,2023-06-21
100370,2025-10-27,Call,2025-11-01
100371,2025-11-17,Hardship,2025-11-08
100372,2025-05-20,Call,2025-06-15
100373,2023-05-24,Hardship,2023-05-16
100377,2023-12-03,SMS,2023-12-26
100377,2024-03-09,Hardship,2024-03-16
100379,2025-06-23,Agent,2025-07-13
100380,2024-01-09,Agent,2024-01-29
100380,2024-09-16,Agent,2024-09-11
100381,2023-04-07,SMS,2023-04-23
100383,2024-10-11,SMS,2024-10-02
100385,2025-05-08,Agent,2025-05-12
100386,2025-08-30,Call,2025-09-18
100387,2024-12-03,Hardship,2025-01-02
100388,2025-08-28,Agent,2025-09-05
100391,2025-03-09,Call,2025-03-27
100391,2025-04-04,Agent,2025-04-14
100392,2025-02-27,SMS,2025-03-07
100393,2022-10-24,Email,2022-10-31
100393,2023-07-17,Call,2023-08-07
100393,2023-11-15,Email,2023-11-10
100393,2024-04-17,Call,2024-04-23
100393,2025-02-11,SMS,2025-03-11
100394,2022-03-19,Call,2022-03-15
100394,2022-11-05,Email,2022-10-31
100397,2023-06-29,SMS,2023-07-07
100397,2025-07-15,SMS,2025-07-23
100397,2025-08-29,Email,2025-09-27
100398,2023-10-15,SMS,2023-10-15
100399,2022-09-21,SMS,2022-09-24
100399,2024-04-15,SMS,2024-04-15
100400,2026-01-19,Email,2026-02-19
100402,2023-10-21,Email,2023-11-11
100402,2024-02-15,Agent,2024-02-19
100403,2024-09-09,Call,2024-09-11
100407,2023-03-29,Hardship,2023-03-28
100407,2024-01-06,SMS,2023-12-31
100407,2026-01-19,Email,2026-01-31
100408,2022-09-29,Email,2022-10-31
100408,2023-11-30,Email,2023-12-03
100409,2023-12-27,SMS,2024-01-21
100409,2024-08-09,Email,2024-08-22
100411,2022-07-14,Agent,2022-07-21
100411,2023-11-14,Hardship,2023-11-05
100411,2025-09-12,Email,2025-09-05
100417,2023-07-08,SMS,2023-07-23
100417,2024-07-09,Email,2024-07-14
100418,2024-05-10,Agent,2024-05-04
100419,2023-11-30,Call,2023-12-01
100420,2025-04-16,Email,2025-04-22
100420,2025-05-03,SMS,2025-05-13
100422,2023-09-06,Call,2023-09-03
100422,2024-01-03,Agent,2024-01-10
100423,2023-01-23,Agent,2023-01-26
100423,2025-07-31,SMS,2025-07-31
100426,2024-09-25,Hardship,2024-10-03
100427,2025-05-25,Agent,2025-06-09
100429,2024-12-25,Agent,2025-01-24
100432,2025-02-18,SMS,2025-03-20
100432,2025-04-17,Email,2025-04-26
100438,2025-03-14,Hardship,2025-03-09
100440,2024-09-25,Call,2024-09-22
100440,2024-11-22,Email,2024-11-28
100443,2022-11-14,SMS,2022-11-28
100443,2023-11-20,Email,2023-12-13
100445,2022-12-16,Call,2022-12-27
100445,2023-07-02,Agent,2023-07-04
100445,2023-11-04,Email,2023-10-29
100446,2024-12-31,Agent,2025-01-26
100446,2025-03-17,Agent,2025-03-06
100448,2025-09-06,SMS,2025-10-07
100448,2025-10-24,Call,2025-10-18
100449,2023-05-07,Agent,2023-06-04
100449,2023-06-14,Call,2023-07-02
100449,2024-06-11,Agent,2024-06-29
100449,2025-10-10,Hardship,2025-10-23
100450,2023-05-30,Hardship,2023-06-24
100450,2024-09-11,SMS,2024-09-09
100452,2025-07-16,Call,2025-07-04
100452,2025-10-17,Agent,2025-10-22
100453,2022-10-02,Call,2022-10-13
100453,2023-01-30,Hardship,2023-02-14
100454,2025-07-13,Email,2025-07-16
100455,2023-12-12,Email,2023-12-13
100457,2022-12-17,Call,2023-01-11
100458,2025-12-26,SMS,2025-12-26
100464,2025-06-09,SMS,2025-06-27
100465,2023-10-29,SMS,2023-10-31
100466,2025-09-30,SMS,2025-09-21
100468,2024-04-04,Hardship,2024-03-23
100468,2025-03-18,Call,2025-04-19
100468,2025-06-24,Email,2025-07-12
100469,2024-12-11,Email,2025-01-07
100469,2025-11-12,Call,2025-11-13
100470,2024-04-02,Agent,2024-04-01
100470,2024-09-06,Hardship,2024-09-13
100472,2024-09-26,Agent,2024-10-18
100472,2025-08-20,SMS,2025-08-19
100472,2025-11-06,Call,2025-10-27
100472,2025-11-19,Hardship,2025-12-15
100473,2023-01-16,Agent,2023-01-15
100474,2023-08-28,Hardship,2023-09-14
100476,2025-05-20,Email,2025-05-14
100477,2025-09-23,Hardship,2025-09-21
100478,2022-09-03,SMS,2022-10-05
100478,2023-04-02,Hardship,2023-04-15
100478,2023-07-08,Email,2023-07-10
100478,2024-09-02,SMS,2024-09-20
100480,2022-12-11,Call,2022-12-20
100480,2023-05-10,Hardship,2023-05-15
100480,2023-09-01,Hardship,2023-09-13
100480,2025-06-09,Call,2025-06-14
100482,2023-12-04,Agent,2023-12-07
100484,2025-11-04,SMS,2025-11-17
100485,2023-05-12,Agent,2023-04-27
100485,2025-01-23,Call,2025-02-11
100485,2025-03-15,Email,2025-03-21
100487,2023-07-25,Hardship,2023-07-30
100487,2024-03-18,SMS,2024-03-14
100491,2024-12-28,SMS,2025-01-07
100492,2022-03-20,Email,2022-04-16
100502,2023-06-07,Email,2023-05-29
100502,2025-04-04,Agent,2025-04-05
100502,2025-08-01,Agent,2025-07-27
100503,2025-04-03,Agent,2025-04-06
100503,2025-11-24,Hardship,2025-12-16
100506,2022-06-06,Agent,2022-06-10
100509,2023-07-10,Agent,2023-07-21
100510,2023-11-16,Agent,2023-11-20
100510,2024-01-25,Call,2024-01-21
100510,2024-08-25,Email,2024-08-25
100511,2024-09-29,Hardship,2024-10-05
100514,2025-09-28,Agent,2025-10-06
100514,2026-01-29,Call,2026-01-28
100518,2025-03-26,Hardship,2025-04-15
100519,2024-08-02,Email,2024-08-01
100527,2025-08-28,Email,2025-09-23
100528,2024-01-30,Email,2024-02-21
100529,2024-04-20,Agent,2024-04-29
100529,2025-04-25,Agent,2025-04-19
100530,2023-08-01,Agent,2023-08-13
100530,2024-06-03,Call,2024-06-11
100530,2026-02-08,Agent,2026-02-11
100540,2025-03-04,Hardship,2025-02-24
100540,2025-03-19,Email,2025-04-06
100540,2025-11-17,Hardship,2025-12-01
100541,2024-10-05,Email,2024-10-10
100541,2025-07-06,Call,2025-07-18
100544,2024-03-06,Call,2024-03-06
100545,2026-02-22,Call,2026-02-23
100546,2025-04-01,Agent,2025-04-25
100549,2023-09-03,Email,2023-09-18
100549,2023-10-05,Agent,2023-10-10
100549,2024-07-10,SMS,2024-07-10
100550,2025-10-10,Hardship,2025-10-14
100551,2025-12-31,Email,2026-01-14
100555,2024-03-17,Hardship,2024-03-24
100555,2024-08-19,SMS,2024-08-26
100555,2024-10-26,SMS,2024-11-11
100556,2025-01-14,Hardship,2025-01-25
100562,2023-11-29,Hardship,2023-11-25
100563,2023-09-01,SMS,2023-09-11
100569,2025-05-21,Email,2025-05-13
100569,2025-06-20,Hardship,2025-07-06
100572,2026-02-04,Hardship,2026-02-04
100573,2024-09-07,SMS,2024-10-12
100573,2024-11-22,SMS,2024-12-07
100576,2023-12-01,Hardship,2023-11-21
100576,2025-02-24,Agent,2025-02-20
100577,2025-09-01,Email,2025-08-23
100582,2025-05-29,Agent,2025-06-03
100586,2024-02-06,Email,2024-02-12
100589,2025-03-20,SMS,2025-04-16
100590,2025-03-25,SMS,2025-04-09
100591,2026-01-29,Agent,2026-02-04
100593,2023-08-05,SMS,2023-08-06
100593,2023-12-09,Email,2023-12-17
100603,2022-12-13,Call,2022-11-26
100605,2025-11-03,Hardship,2025-11-11
100607,2024-03-26,Hardship,2024-03-26
100607,2024-04-26,Call,2024-04-28
100608,2024-03-28,SMS,2024-04-20
100610,2022-11-15,Email,2022-12-03
100610,2023-06-09,Agent,2023-06-06
100611,2024-05-26,Email,2024-06-12
100611,2024-12-23,Agent,2024-12-24
100611,2025-03-21,Agent,2025-04-05
100615,2023-08-17,Call,2023-09-05
100615,2024-12-09,Hardship,2024-12-31
100615,2025-06-05,Email,2025-06-18
100615,2025-07-03,Hardship,2025-08-05
100617,2024-08-23,SMS,2024-09-04
100617,2025-04-08,Call,2025-04-18
100618,2023-05-06,Agent,2023-05-26
100618,2023-08-13,Hardship,2023-08-20
100627,2023-01-17,SMS,2023-01-28
100628,2024-08-02,Email,2024-08-06
100636,2024-01-08,Call,2024-02-09
100636,2025-04-25,Email,2025-05-13
100636,2025-07-14,Hardship,2025-07-26
100637,2025-09-07,Email,2025-09-20
100638,2026-01-27,SMS,2026-01-28
100639,2025-08-16,Hardship,2025-08-21
100640,2023-02-25,Agent,2023-03-19
100641,2024-03-07,SMS,2024-03-24
100641,2024-10-07,Call,2024-10-25
100641,2025-03-12,Email,2025-03-22
100646,2023-11-03,Email,2023-11-11
100648,2025-10-22,Hardship,2025-11-05
100650,2023-07-01,SMS,2023-07-08
100650,2023-10-23,Call,2023-11-24
100651,2024-10-07,SMS,2024-09-25
100651,2025-08-02,Agent,2025-08-18
100652,2023-05-20,Hardship,2023-06-19
100652,2025-01-19,Email,2025-01-20
100652,2025-07-17,SMS,2025-08-06
100653,2023-05-29,Agent,2023-06-03
100653,2024-01-12,SMS,2023-12-28
100653,2024-05-01,Email,2024-05-04
100653,2025-09-23,Email,2025-09-26
100654,2025-06-27,Call,2025-06-29
100657,2024-12-29,Call,2025-01-08
100658,2025-09-02,Call,2025-09-17
100658,2025-12-22,Hardship,2025-12-20
100659,2024-04-17,Agent,2024-04-27
100663,2025-04-19,Hardship,2025-04-06
100663,2025-07-17,Email,2025-07-04
100664,2025-06-15,Call,2025-06-09
100669,2024-09-19,SMS,2024-10-19
100670,2024-12-20,SMS,2024-12-24
100673,2023-02-26,Email,2023-02-16
100673,2024-07-02,Call,2024-06-26
100673,2025-05-26,Agent,2025-05-28
100675,2024-04-25,Call,2024-04-27
100676,2024-06-20,Call,2024-06-19
100678,2024-09-28,Hardship,2024-10-22
100682,2025-05-08,Agent,2025-05-27
100685,2022-09-01,Email,2022-09-18
100686,2024-12-29,SMS,2025-01-25
100686,2025-05-12,Agent,2025-05-10
100686,2025-08-10,Email,2025-08-21
100687,2024-04-09,SMS,2024-04-04
100687,2024-08-06,SMS,2024-08-02
100688,2024-01-03,Call,2024-01-09
100690,2023-03-05,Call,2023-03-22
100690,2023-09-08,Agent,2023-09-24
100691,2023-06-15,Email,2023-07-09
100692,2026-01-06,Call,2025-12-31
100693,2025-02-12,Agent,2025-03-05
100694,2025-03-06,Email,2025-04-08
100696,2025-10-20,Hardship,2025-11-06
100697,2025-03-18,SMS,2025-03-17
100699,2023-06-05,Call,2023-06-01
100699,2023-06-18,Call,2023-07-09
100702,2025-01-24,SMS,2025-02-16
100703,2023-12-30,SMS,2024-01-03
100703,2025-08-05,SMS,2025-08-12
100703,2025-11-23,SMS,2025-11-28
100705,2024-01-24,SMS,2024-01-29
100705,2025-07-10,Email,2025-07-20
100706,2025-02-04,Agent,2025-01-27
100707,2024-02-01,Hardship,2024-02-03
100708,2024-10-05,SMS,2024-10-29
100709,2025-02-25,Hardship,2025-03-14
100709,2025-11-19,Agent,2025-11-24
100711,2024-03-18,Call,2024-03-23
100711,2024-09-07,SMS,2024-10-03
100711,2025-03-12,Agent,2025-04-10
100712,2023-02-22,SMS,2023-03-10
100713,2024-06-30,Hardship,2024-06-30
100713,2024-10-03,SMS,2024-09-28
100714,2023-05-28,SMS,2023-07-03
100714,2023-07-06,Agent,2023-07-14
100714,2024-06-13,Email,2024-06-08
100714,2024-07-19,Agent,2024-07-08
100716,2025-08-04,Email,2025-07-29
100720,2022-12-11,Agent,2022-12-31
100720,2023-12-01,Call,2023-12-11
100720,2024-04-07,Call,2024-04-21
100720,2024-08-14,Call,2024-08-17
100720,2024-08-24,SMS,2024-09-13
100721,2024-06-17,Hardship,2024-06-28
100723,2022-05-14,Hardship,2022-05-08
100723,2023-01-28,SMS,2023-02-19
100725,2024-05-21,Call,2024-05-22
100726,2023-02-03,Hardship,2023-02-26
100727,2022-05-18,Call,2022-05-31
100727,2023-07-26,Agent,2023-07-17
100729,2025-02-03,Hardship,2025-02-05
100729,2025-03-19,Email,2025-03-18
100730,2023-05-27,Hardship,2023-06-14
100733,2023-11-18,SMS,2023-11-16
100734,2024-02-15,Email,2024-02-15
100734,2024-05-11,Hardship,2024-05-13
100737,2025-05-06,Call,2025-05-22
100738,2024-11-18,Email,2024-12-12
100738,2024-12-24,SMS,2025-01-18
100739,2023-07-10,Call,2023-07-11
100740,2025-09-28,Agent,2025-10-03
100743,2024-12-14,Agent,2024-12-28
100743,2025-10-24,Agent,2025-11-16
100744,2023-02-10,Email,2023-02-26
100744,2023-03-19,Call,2023-03-14
100745,2024-11-29,Call,2024-12-09
100746,2023-01-01,Call,2023-01-14
100746,2023-05-03,Call,2023-05-27
100746,2024-01-31,Email,2024-02-07
100746,2025-05-12,Agent,2025-05-02
100748,2025-08-09,Hardship,2025-08-29
100748,2025-09-04,SMS,2025-09-22
100756,2024-06-07,Email,2024-06-19
100756,2025-07-17,Email,2025-07-05
100758,2025-10-02,SMS,2025-09-27
100759,2024-06-22,SMS,2024-06-27
100759,2024-08-14,Call,2024-09-10
100761,2024-04-22,SMS,2024-04-16
100763,2024-11-30,SMS,2024-12-28
100763,2025-03-11,SMS,2025-03-08
100765,2024-06-13,SMS,2024-06-29
100766,2024-11-11,Hardship,2024-11-23
100767,2025-07-05,Email,2025-07-12
100769,2025-12-07,Hardship,2025-12-28
100771,2023-10-26,Agent,2023-11-04
100772,2023-04-24,Hardship,2023-04-29
100772,2023-07-12,Agent,2023-07-22
100772,2023-10-08,Agent,2023-10-15
100775,2025-03-22,Email,2025-04-04
100776,2024-12-23,Agent,2024-12-26
100777,2024-09-18,Call,2024-09-13
100777,2025-11-05,SMS,2025-11-27
100779,2025-04-16,Email,2025-05-02
100779,2026-01-19,Agent,2026-01-31
100781,2025-09-26,Email,2025-09-30
100782,2022-12-18,SMS,2022-12-08
100782,2023-09-10,Hardship,2023-09-19
100783,2024-10-09,Email,2024-10-15
