customer_id,age,annual_income_nzd,employment_type,region,credit_score,tenure_months
186,47,29827.38,Salaried,Wellington,615,40
187,44,69621.86,Salaried,Bay of Plenty,637,60
188,37,72005.47,Salaried,Other,661,56
189,28,73648.01,Salaried,Canterbury,650,6
190,20,82947.21,Salaried,Wellington,701,10
191,33,71098.62,Salaried,Waikato,684,11
192,48,45048.13,Salaried,Auckland,544,61
193,41,52476.64,Salaried,Wellington,555,60
194,23,56444.11,Contractor,Auckland,624,25
195,40,56866.67,Contractor,Auckland,778,31
196,43,84897.33,Salaried,Canterbury,590,63
197,27,72377.51,Unemployed,Canterbury,635,13
198,40,137971.79,Self-employed,Bay of Plenty,612,2
199,39,146226.35,Contractor,Otago,611,24
200,24,56153.39,Salaried,Auckland,662,88
201,42,18000.0,Student,Bay of Plenty,748,56
202,45,94520.74,Unemployed,Auckland,682,16
203,51,42481.78,Salaried,Canterbury,594,2
204,51,37772.33,Self-employed,Otago,843,36
205,21,45283.57,Contractor,Auckland,656,65
206,27,44311.99,Salaried,Canterbury,610,39
207,44,71362.04,Salaried,Wellington,749,20
208,44,26856.25,Salaried,Bay of Plenty,617,5
209,44,33357.09,Salaried,Waikato,766,87
210,75,63222.87,Salaried,Bay of Plenty,589,12
211,45,71705.65,Salaried,Auckland,750,9
212,52,72308.27,Self-employed,Waikato,664,61
213,49,38018.71,Unemployed,Canterbury,740,143
214,46,34883.89,Salaried,Wellington,783,39
215,34,43131.74,Salaried,Auckland,571,35
216,47,60351.6,Salaried,Auckland,739,14
217,29,105711.06,Student,Auckland,551,1
218,35,21561.26,Salaried,Auckland,577,8
219,32,49053.76,Contractor,Auckland,594,32
220,39,29741.38,Salaried,Otago,685,6
221,66,25757.75,Salaried,Otago,652,77
222,18,83711.4,Salaried,Otago,638,8
223,46,69222.49,Salaried,Bay of Plenty,660,27
224,19,66319.89,Contractor,Auckland,691,26
225,32,81998.94,Salaried,Wellington,697,33
226,51,43657.33,Salaried,Manawatu,727,14
227,39,44592.15,Student,Waikato,777,74
228,25,144868.07,Salaried,Auckland,649,21
229,29,48486.61,Salaried,Wellington,614,43
230,46,75418.62,Unemployed,Auckland,693,36
231,29,54332.17,Salaried,Auckland,570,4
232,41,23583.05,Student,Wellington,602,35
233,39,21588.52,Student,Otago,720,29
234,30,41750.1,Salaried,Canterbury,641,82
235,64,87137.76,Salaried,Auckland,565,77
236,46,77244.52,Salaried,Wellington,546,6
237,18,81742.94,Salaried,Bay of Plenty,653,3
238,40,34746.33,Contractor,Auckland,730,13
239,30,112099.55,Salaried,Canterbury,729,155
240,48,35094.44,Salaried,Auckland,658,1
241,28,59621.47,Salaried,Wellington,791,40
242,37,53924.57,Salaried,Auckland,643,34
243,44,50099.02,Self-employed,Otago,640,37
244,48,98949.65,Contractor,Auckland,470,9
245,24,39446.49,Self-employed,Auckland,619,9
246,34,29515.7,Student,Auckland,710,20
247,32,54666.04,Salaried,Canterbury,759,4
248,30,45255.43,Salaried,Waikato,592,3
249,59,247662.53,Salaried,Auckland,682,3
250,43,73455.01,Unemployed,Auckland,723,31
251,23,45062.1,Salaried,Bay of Plenty,651,18
252,49,33683.04,Unemployed,Waikato,490,13
253,63,23245.58,Contractor,Bay of Plenty,667,14
254,50,34154.56,Contractor,Waikato,703,8
255,20,57052.31,Salaried,Waikato,584,19
256,32,102980.81,Salaried,Auckland,632,8
257,53,89747.92,Salaried,Canterbury,569,43
258,30,60059.6,Salaried,Bay of Plenty,470,5
259,43,46843.83,Unemployed,Auckland,722,107
260,47,61142.69,Contractor,Wellington,650,3
261,27,42899.39,Student,Waikato,762,103
262,37,117390.8,Salaried,Canterbury,710,64
263,18,49754.91,Salaried,Waikato,625,41
264,26,52111.87,Self-employed,Auckland,644,88
265,35,19987.85,Salaried,Auckland,690,5
266,23,49615.29,Student,Auckland,718,7
267,58,78937.99,Contractor,Manawatu,673,10
268,21,33507.51,Salaried,Manawatu,727,10
269,33,38645.12,Self-employed,Auckland,629,13
270,40,77398.29,Self-employed,Auckland,580,31
271,55,27875.52,Salaried,Auckland,645,1
272,21,87204.43,Salaried,Auckland,664,17
273,52,42639.45,Salaried,Auckland,566,10
274,38,45485.29,Salaried,Auckland,556,34
275,26,32671.38,Contractor,Bay of Plenty,681,152
276,44,64223.27,Salaried,Waikato,622,26
277,40,163888.63,Contractor,Auckland,638,20
278,31,77008.71,Salaried,Waikato,625,17
279,39,36719.81,Unemployed,Canterbury,756,55
280,33,90312.33,Unemployed,Auckland,738,3
281,39,46980.8,Self-employed,Waikato,563,116
282,46,100560.84,Salaried,Auckland,613,19
283,57,77886.22,Salaried,Auckland,710,14
284,23,18000.0,Salaried,Auckland,692,131
285,64,34481.02,Salaried,Manawatu,647,99
286,18,82865.44,Salaried,Waikato,570,37
287,36,58002.75,Student,Wellington,602,1
288,45,34177.06,Salaried,Bay of Plenty,614,50
289,41,40736.7,Salaried,Auckland,669,15
290,31,22975.73,Salaried,Manawatu,769,18
291,36,52064.16,Unemployed,Waikato,602,6
292,32,146504.35,Salaried,Canterbury,578,27
293,31,77825.16,Salaried,Bay of Plenty,642,49
294,48,145173.91,Unemployed,Canterbury,722,11
295,42,80585.88,Salaried,Otago,549,101
296,30,86022.63,Self-employed,Bay of Plenty,752,8
297,49,131707.05,Self-employed,Auckland,638,2
298,42,64200.64,Salaried,Auckland,599,37
299,48,49798.88,Salaried,Auckland,538,68
300,46,86223.31,Student,Auckland,699,110
301,28,104216.75,Salaried,Auckland,638,52
302,31,43652.5,Salaried,Auckland,662,8
303,47,39155.41,Salaried,Auckland,587,137
304,45,57669.59,Salaried,Bay of Plenty,628,91
305,38,78761.1,Salaried,Otago,616,6
306,39,77585.9,Unemployed,Auckland,643,29
307,53,28541.79,Unemployed,Auckland,603,29
308,31,128055.97,Salaried,Auckland,543,21
309,45,40598.07,Salaried,Otago,841,150
310,36,48084.77,Salaried,Wellington,555,2
311,35,36091.24,Unemployed,Other,663,36
312,51,182453.02,Salaried,Otago,526,8
313,48,60411.32,Salaried,Otago,510,27
314,48,36940.4,Student,Auckland,657,54
315,54,79918.74,Salaried,Wellington,662,10
316,38,76581.52,Salaried,Other,738,18
317,46,49787.68,Salaried,Auckland,678,108
318,34,79084.57,Self-employed,Canterbury,640,52
319,42,37369.82,Contractor,Auckland,584,31
320,36,43398.79,Self-employed,Wellington,755,9
321,39,21925.43,Salaried,Otago,715,20
322,45,29858.42,Salaried,Canterbury,563,54
323,28,122202.39,Contractor,Waikato,653,62
324,63,113396.17,Student,Waikato,660,10
325,26,55804.23,Salaried,Canterbury,626,39
326,23,114498.75,Salaried,Bay of Plenty,704,4
327,52,50411.09,Self-employed,Other,708,1
328,47,48555.63,Salaried,Other,637,29
329,45,55571.72,Salaried,Bay of Plenty,630,9
330,46,51214.87,Salaried,Wellington,755,3
331,38,49176.03,Unemployed,Auckland,715,47
332,27,90628.97,Self-employed,Auckland,655,25
333,39,57963.05,Salaried,Auckland,536,57
334,30,74653.81,Student,Auckland,674,39
335,50,86173.78,Salaried,Auckland,699,47
336,36,64516.97,Salaried,Auckland,457,13
337,28,35009.61,Salaried,Auckland,668,11
338,34,29472.42,Salaried,Canterbury,621,33
339,43,57927.72,Unemployed,Auckland,635,8
340,31,50158.07,Salaried,Waikato,586,61
341,28,56349.36,Salaried,Auckland,640,27
342,41,53786.39,Unemployed,Waikato,747,9
343,41,173270.31,Salaried,Otago,619,35
344,32,29774.22,Salaried,Auckland,718,104
345,32,22126.34,Salaried,Other,594,3
346,41,62916.87,Unemployed,Canterbury,703,4
347,21,45734.57,Salaried,Auckland,650,67
348,21,62456.81,Salaried,Auckland,675,4
349,29,70456.26,Self-employed,Otago,651,1
350,35,96552.98,Unemployed,Canterbury,695,15
351,42,27494.7,Student,Auckland,470,23
352,56,42170.53,Salaried,Manawatu,551,30
353,48,65705.81,Student,Bay of Plenty,679,25
354,36,76627.29,Student,Waikato,507,88
355,38,145372.15,Self-employed,Otago,613,53
356,26,83288.59,Self-employed,Bay of Plenty,646,148
357,38,52809.43,Salaried,Auckland,592,23
358,35,36290.23,Self-employed,Canterbury,602,3
359,42,42027.08,Contractor,Otago,669,112
360,28,41493.15,Salaried,Auckland,721,1
361,44,72755.16,Salaried,Auckland,583,54
362,56,60818.47,Salaried,Auckland,610,1
363,37,29862.47,Student,Auckland,599,52
364,43,44526.7,Self-employed,Auckland,481,100
365,46,80410.21,Salaried,Bay of Plenty,660,18
366,33,63465.27,Student,Bay of Plenty,715,10
367,41,69974.77,Contractor,Auckland,721,9
368,38,64364.32,Unemployed,Waikato,589,24
369,39,112633.43,Salaried,Canterbury,562,7
370,29,60247.68,Salaried,Auckland,652,40
371,38,45537.42,Contractor,Auckland,708,17
372,44,35879.1,Salaried,Auckland,661,14
373,55,60616.61,Salaried,Waikato,670,22
374,50,18064.12,Salaried,Auckland,730,28
375,64,49864.77,Contractor,Auckland,598,6
376,29,49383.52,Salaried,Auckland,635,44
377,48,29318.91,Salaried,Manawatu,764,77
378,40,35677.67,Salaried,Waikato,636,12
379,64,77990.78,Salaried,Wellington,561,7
380,28,60103.32,Unemployed,Manawatu,603,51
381,28,56715.61,Salaried,Auckland,584,7
382,31,62184.21,Salaried,Waikato,675,2
383,18,56482.29,Salaried,Auckland,587,35
384,32,94777.58,Salaried,Auckland,669,10
385,29,57270.63,Unemployed,Otago,598,7
386,40,28107.85,Unemployed,Bay of Plenty,501,144
387,42,112821.08,Salaried,Auckland,671,12
388,61,64000.94,Salaried,Auckland,660,84
389,49,41557.61,Salaried,Auckland,686,7
390,31,30821.54,Salaried,Bay of Plenty,603,62
391,27,64741.74,Self-employed,Auckland,595,25
392,44,51393.79,Salaried,Waikato,678,3
393,22,110014.35,Contractor,Otago,756,48
394,60,46366.93,Contractor,Auckland,651,80
395,52,37167.08,Salaried,Otago,680,6
396,32,81073.25,Contractor,Auckland,627,47
397,18,82156.14,Student,Waikato,542,21
398,54,58448.02,Self-employed,Bay of Plenty,718,50
399,37,73450.04,Unemployed,Wellington,714,45
400,53,53265.32,Contractor,Auckland,700,1
401,19,60188.66,Self-employed,Manawatu,637,7
402,31,91513.88,Unemployed,Auckland,692,23
403,38,71782.3,Self-employed,Canterbury,713,98
404,39,50202.82,Salaried,Auckland,763,15
405,33,99564.72,Salaried,Wellington,719,36
406,45,18691.33,Student,Canterbury,654,1
407,25,136411.73,Salaried,Canterbury,558,45
408,36,25142.59,Salaried,Auckland,661,33
409,39,40855.97,Salaried,Waikato,668,45
410,44,53187.95,Salaried,Auckland,700,85
411,47,50720.41,Self-employed,Auckland,745,6
412,25,85210.93,Salaried,Wellington,643,11
413,20,33656.91,Salaried,Canterbury,797,180
414,53,60921.72,Student,Auckland,527,6
415,42,41764.61,Self-employed,Canterbury,679,46
416,29,61871.41,Student,Wellington,594,46
417,57,52620.05,Salaried,Auckland,516,41
418,39,56490.12,Self-employed,Canterbury,636,9
419,52,42299.64,Contractor,Other,548,9
420,39,43065.23,Salaried,Wellington,639,40
421,63,61652.72,Student,Bay of Plenty,652,7
422,59,82840.47,Salaried,Auckland,728,39
423,35,41389.16,Self-employed,Bay of Plenty,544,24
424,50,36645.82,Self-employed,Canterbury,714,18
425,46,71400.28,Salaried,Canterbury,657,13
426,54,53389.71,Self-employed,Otago,722,106
427,26,78725.64,Salaried,Auckland,620,26
428,46,36040.24,Self-employed,Auckland,557,30
429,51,24324.82,Salaried,Auckland,565,107
430,18,42622.95,Salaried,Waikato,560,38
431,24,38374.23,Salaried,Otago,683,114
432,18,52289.2,Salaried,Wellington,753,4
433,35,40677.06,Self-employed,Auckland,610,67
434,47,75618.6,Student,Canterbury,694,15
435,56,47587.83,Salaried,Auckland,543,60
436,39,57971.89,Salaried,Auckland,663,70
437,58,58158.98,Salaried,Auckland,697,11
438,21,59143.96,Self-employed,Wellington,549,19
439,18,53591.29,Salaried,Wellington,636,47
440,37,68170.71,Salaried,Auckland,700,4
441,43,37871.54,Salaried,Canterbury,450,51
442,38,101695.47,Salaried,Manawatu,743,4
443,18,48706.03,Salaried,Auckland,675,89
444,37,30025.52,Salaried,Waikato,700,12
445,22,58961.09,Salaried,Canterbury,621,31
446,46,36936.99,Salaried,Manawatu,529,4
447,42,73086.62,Self-employed,Canterbury,687,11
448,27,146432.89,Salaried,Canterbury,644,19
449,32,38026.65,Salaried,Bay of Plenty,652,24
450,25,62916.74,Salaried,Auckland,726,1
451,37,24588.21,Self-employed,Canterbury,703,79
452,49,66453.47,Student,Wellington,784,1
453,26,36367.43,Self-employed,Wellington,661,53
454,44,40897.51,Salaried,Auckland,602,23
455,32,33005.22,Self-employed,Auckland,637,27
456,28,75317.52,Salaried,Auckland,679,8
457,37,85245.19,Salaried,Waikato,721,34
458,26,54749.49,Salaried,Manawatu,547,28
459,31,36717.47,Salaried,Auckland,651,6
460,24,110778.21,Salaried,Auckland,763,10
461,62,38650.52,Salaried,Other,633,2
462,38,20477.57,Salaried,Waikato,715,2
463,30,66587.69,Unemployed,Otago,685,1
464,41,32953.46,Student,Auckland,717,9
465,37,84531.03,Unemployed,Bay of Plenty,593,41
466,35,45637.64,Salaried,Bay of Plenty,594,14
467,45,71087.8,Student,Auckland,651,15
468,47,101790.82,Student,Auckland,543,5
469,32,31445.57,Unemployed,Auckland,631,31
470,31,41995.94,Salaried,Auckland,668,15
471,35,52362.61,Contractor,Other,775,41
472,18,108217.47,Salaried,Auckland,678,49
473,20,40284.73,Salaried,Bay of Plenty,694,32
474,54,41459.54,Salaried,Bay of Plenty,732,12
475,58,67182.18,Unemployed,Wellington,582,26
476,35,41783.09,Salaried,Waikato,638,10
477,45,58025.43,Salaried,Auckland,820,84
478,42,26951.88,Unemployed,Wellington,644,52
479,75,146744.53,Salaried,Other,728,24
480,51,29540.89,Student,Auckland,717,121
481,36,46873.67,Contractor,Wellington,547,28
482,27,53390.26,Salaried,Bay of Plenty,672,14
483,19,128118.34,Salaried,Waikato,660,4
484,40,29846.4,Salaried,Canterbury,673,28
485,29,132278.77,Unemployed,Otago,597,71
486,21,76170.5,Student,Auckland,572,73
487,30,65361.78,Salaried,Bay of Plenty,617,33
488,25,34784.07,Salaried,Otago,643,18
489,58,70053.43,Salaried,Auckland,733,38
490,49,39121.64,Contractor,Canterbury,777,52
491,38,95798.05,Salaried,Auckland,748,19
492,56,34997.16,Salaried,Auckland,710,23
493,39,51486.69,Contractor,Wellington,580,41
494,28,42197.96,Salaried,Canterbury,621,75
495,56,34738.88,Salaried,Manawatu,665,56
496,44,75628.91,Contractor,Canterbury,606,1
497,26,68937.56,Self-employed,Otago,690,5
498,36,93344.72,Salaried,Auckland,700,69
499,27,24320.05,Self-employed,Auckland,688,65
500,21,87454.75,Salaried,Other,722,18
501,49,167284.63,Self-employed,Otago,587,32
502,61,44212.44,Student,Auckland,715,85
503,21,127111.11,Self-employed,Canterbury,601,87
504,45,48125.98,Self-employed,Auckland,584,55
505,30,29214.36,Self-employed,Wellington,687,8
506,32,47214.93,Salaried,Otago,735,47
507,31,86828.64,Salaried,Waikato,684,4
508,28,37153.77,Salaried,Auckland,651,81
509,39,41350.82,Self-employed,Auckland,672,6
510,28,70763.08,Salaried,Auckland,660,39
511,41,54251.02,Salaried,Bay of Plenty,571,34
512,37,70479.72,Contractor,Wellington,563,54
513,35,60296.14,Salaried,Other,644,29
514,27,67227.08,Self-employed,Bay of Plenty,656,2
515,31,44598.9,Salaried,Auckland,651,44
516,47,60130.89,Salaried,Bay of Plenty,697,17
517,44,35692.01,Salaried,Wellington,635,14
518,26,96741.25,Salaried,Auckland,689,172
519,39,40724.14,Salaried,Auckland,640,32
520,47,90037.49,Salaried,Other,778,45
521,18,48770.3,Salaried,Wellington,656,27
522,45,59331.73,Self-employed,Waikato,814,53
523,30,43358.84,Salaried,Wellington,675,50
524,45,34296.62,Contractor,Auckland,635,39
525,29,24707.39,Self-employed,Bay of Plenty,587,180
526,18,33694.98,Salaried,Otago,549,22
527,18,46828.21,Salaried,Auckland,581,44
528,39,59596.11,Salaried,Auckland,588,58
529,41,85363.23,Unemployed,Wellington,678,17
530,27,44329.65,Student,Auckland,613,22
531,46,36428.9,Salaried,Bay of Plenty,663,125
532,18,28304.56,Salaried,Auckland,740,1
533,37,67240.34,Unemployed,Bay of Plenty,644,15
534,23,100955.75,Contractor,Canterbury,796,24
535,30,95783.78,Salaried,Auckland,568,1
536,39,74568.22,Salaried,Auckland,639,83
537,28,72210.77,Salaried,Auckland,612,12
538,33,116300.27,Contractor,Auckland,716,11
539,50,62908.51,Contractor,Waikato,493,62
540,31,72457.71,Salaried,Auckland,549,12
541,48,46894.11,Salaried,Waikato,642,39
542,24,29350.96,Unemployed,Wellington,759,62
543,44,39825.71,Student,Auckland,666,57
544,55,53953.53,Salaried,Wellington,555,55
545,18,55678.73,Salaried,Waikato,566,3
546,28,128904.7,Salaried,Auckland,767,3
547,45,56194.53,Salaried,Canterbury,607,13
548,36,92086.12,Salaried,Auckland,584,1
549,42,44543.22,Salaried,Auckland,753,25
550,31,47086.7,Unemployed,Auckland,721,18
551,39,29790.55,Student,Wellington,739,29
552,36,38791.34,Salaried,Bay of Plenty,583,13
553,52,68675.08,Student,Wellington,543,24
554,41,54360.99,Self-employed,Auckland,659,15
555,42,82811.51,Salaried,Canterbury,673,8
556,33,58780.43,Student,Wellington,676,38
557,32,46230.54,Self-employed,Auckland,753,40
558,33,142448.18,Student,Bay of Plenty,529,64
559,43,51934.75,Salaried,Auckland,710,75
560,33,91431.97,Salaried,Manawatu,573,44
561,41,45227.29,Salaried,Auckland,710,42
562,63,74557.04,Salaried,Wellington,617,2
563,48,82257.27,Salaried,Manawatu,593,4
564,34,59505.34,Unemployed,Bay of Plenty,607,60
565,52,18778.78,Self-employed,Auckland,549,10
566,33,54623.18,Salaried,Canterbury,653,16
567,18,94250.09,Salaried,Auckland,596,6
568,26,68690.51,Student,Wellington,705,8
569,18,66212.7,Salaried,Waikato,695,54
570,34,24958.87,Salaried,Wellington,768,11
571,38,39175.05,Student,Auckland,676,21
572,58,65193.23,Unemployed,Canterbury,686,6
573,42,65164.65,Contractor,Auckland,748,41
574,35,93582.63,Salaried,Auckland,606,47
575,48,50757.26,Salaried,Wellington,546,16
576,18,65031.1,Contractor,Canterbury,664,55
577,41,54577.03,Unemployed,Wellington,550,10
578,47,34747.95,Unemployed,Auckland,822,42
579,20,19631.56,Salaried,Manawatu,752,47
580,52,65772.32,Student,Canterbury,801,125
581,42,58587.48,Salaried,Auckland,654,10
582,33,41020.25,Salaried,Other,689,4
583,46,26143.92,Salaried,Otago,618,11
584,65,71925.26,Unemployed,Auckland,712,5
585,40,48066.27,Salaried,Canterbury,565,7
586,41,69605.14,Salaried,Canterbury,472,15
587,32,125344.58,Unemployed,Auckland,595,19
588,28,20668.29,Salaried,Auckland,548,84
589,48,39544.41,Salaried,Canterbury,753,8
590,28,49305.01,Contractor,Auckland,777,128
591,39,104262.99,Contractor,Bay of Plenty,552,60
592,32,25942.0,Salaried,Auckland,740,77
593,44,129461.32,Unemployed,Manawatu,717,95
594,42,57591.78,Salaried,Otago,540,50
