loan_id,customer_id,product_type,origination_date,principal_nzd,interest_rate_apr,term_months,channel,status
100198,5044,Personal,2024-02-10,91004.67,0.171,12,Branch,Active
100199,3863,Personal,2022-08-27,62067.12,0.0845,36,Broker,Active
100200,3435,Auto,2023-11-04,49312.7,0.1379,36,Online,Active
100201,4426,SME,2023-10-03,71908.54,0.1782,24,Partner,Active
100202,3853,Auto,2023-06-19,56088.94,0.1015,24,Online,Active
100203,3150,Personal,2025-01-07,26317.95,0.1454,24,Broker,Active
100204,4009,Mortgage,2022-10-02,296576.64,0.0556,240,Broker,Active
100205,4797,Mortgage,2025-01-12,203900.94,0.0772,240,Broker,Active
100206,5499,Personal,2025-03-24,32138.39,0.1687,24,Broker,Active
100207,4862,SME,2022-11-07,59098.77,0.2028,18,Branch,Active
100208,7391,Personal,2025-11-19,73688.57,0.1776,24,Partner,Active
100209,7537,Auto,2023-05-12,95469.36,0.0952,24,Online,Active
100210,7069,Auto,2023-02-13,47511.95,0.1228,48,Broker,Active
100211,5974,Auto,2023-04-30,86911.47,0.1175,36,Online,Active
100212,6830,Personal,2022-03-31,68962.2,0.1178,24,Online,Active
100213,4337,Personal,2022-07-05,31836.36,0.1944,48,Partner,Active
100214,6329,SME,2023-07-04,56795.71,0.153,24,Broker,Active
100215,3837,Personal,2024-09-07,33755.94,0.2025,48,Broker,Active
100216,2311,Auto,2025-12-03,48777.99,0.1359,48,Online,Active
100217,6752,Personal,2023-07-14,41642.41,0.1811,12,Broker,Active
100218,4255,Mortgage,2025-08-19,161053.94,0.0597,300,Online,Active
100219,1352,Personal,2022-05-31,47017.24,0.1122,36,Broker,Active
100220,3449,SME,2024-09-13,141146.33,0.1285,18,Online,Active
100221,3694,SME,2025-12-11,50906.27,0.169,36,Broker,Active
100222,5275,Personal,2023-11-27,45740.3,0.2265,24,Branch,Active
100223,2297,Personal,2022-10-19,31547.02,0.1673,24,Broker,Active
100224,2456,Mortgage,2023-10-18,307265.05,0.0811,300,Online,Active
100225,7042,Personal,2023-04-03,16549.85,0.1746,36,Broker,Active
100226,1674,Mortgage,2022-01-21,241200.59,0.0622,240,Broker,Active
100227,3372,Personal,2023-03-01,18853.7,0.1138,24,Broker,Active
100228,3994,Personal,2024-08-30,26743.93,0.197,12,Broker,Active
100229,117,Auto,2025-08-04,40746.69,0.1293,36,Online,Active
100230,3242,SME,2022-11-04,35430.24,0.1417,24,Branch,Active
100231,2530,Personal,2023-08-09,31517.24,0.1801,48,Broker,Active
100232,4871,Personal,2025-03-12,31063.03,0.1139,12,Online,Active
100233,2944,Personal,2025-09-30,61195.13,0.1542,48,Branch,Active
100234,4140,Auto,2024-06-28,42939.84,0.1458,24,Online,Active
100235,5908,Personal,2023-09-05,42772.9,0.1793,36,Branch,Active
100236,6225,Personal,2026-01-20,40725.62,0.2776,24,Branch,Active
100237,108,Personal,2024-09-11,22286.91,0.1362,12,Branch,Active
100238,3490,SME,2024-06-28,73550.36,0.1877,36,Partner,Active
100239,666,Personal,2023-09-23,21817.91,0.1637,12,Broker,Active
100240,3224,Personal,2025-01-28,32500.3,0.1505,48,Branch,Active
100241,6825,Auto,2024-09-24,48036.44,0.0961,24,Online,Active
100242,7197,Auto,2025-01-29,54940.37,0.1413,60,Online,Active
100243,2276,Personal,2025-06-03,27741.75,0.1134,24,Broker,Active
100244,867,Mortgage,2024-05-26,271716.13,0.071,180,Broker,Active
100245,4640,Personal,2026-01-22,26122.4,0.2348,36,Online,Active
100246,928,SME,2024-06-07,65087.48,0.1964,18,Branch,Active
100247,225,Mortgage,2024-11-26,131476.54,0.0766,180,Broker,Active
100248,3316,Personal,2025-03-23,60211.72,0.0817,12,Online,Active
100249,1180,Mortgage,2022-05-25,368906.32,0.0629,120,Online,Active
100250,6963,Auto,2023-03-14,48800.46,0.1093,36,Broker,Active
100251,2961,SME,2025-06-11,108412.13,0.1792,18,Broker,Active
100252,2365,Personal,2025-12-03,35183.8,0.1957,24,Broker,Active
100253,7475,SME,2025-08-02,44615.59,0.1795,36,Broker,Active
100254,903,Personal,2026-01-27,50481.0,0.1488,12,Online,Active
100255,7208,Auto,2022-11-12,54241.81,0.1325,24,Online,Active
100256,4549,Personal,2025-05-26,64539.56,0.2378,36,Online,Active
100257,522,Auto,2022-02-20,70278.01,0.1308,36,Partner,Active
100258,1445,Auto,2025-08-16,31727.34,0.113,48,Branch,Active
100259,702,Auto,2022-08-10,30647.26,0.1319,48,Partner,Active
100260,7239,Mortgage,2025-07-30,188142.22,0.0721,300,Branch,Active
100261,1617,Personal,2025-12-03,49110.44,0.1873,36,Partner,Active
100262,4261,Personal,2022-06-30,40671.39,0.1729,12,Partner,Active
100263,253,Personal,2025-08-29,42405.64,0.196,36,Broker,Active
100264,4351,SME,2023-04-19,68649.54,0.1277,24,Partner,Active
100265,2967,SME,2023-01-20,79313.41,0.1657,24,Online,Active
100266,3425,Auto,2023-02-09,55222.19,0.11,36,Partner,Active
100267,5461,Mortgage,2025-06-04,181728.55,0.1021,120,Broker,Active
100268,620,Personal,2024-11-23,23655.78,0.1797,12,Branch,Active
100269,4253,Mortgage,2022-05-04,301876.9,0.0817,240,Online,Active
100270,2839,SME,2023-06-09,66101.46,0.113,24,Partner,Active
100271,532,Personal,2022-12-14,23574.07,0.1085,48,Branch,Active
100272,5580,Personal,2024-09-22,18978.08,0.1762,24,Broker,Active
100273,647,Personal,2024-08-04,54563.99,0.0866,24,Broker,Active
100274,6360,SME,2024-05-08,57629.11,0.1292,36,Branch,Active
100275,185,Personal,2023-09-01,73357.0,0.0873,12,Partner,Active
100276,2274,Auto,2022-05-12,41394.36,0.1285,60,Broker,Active
100277,5135,Personal,2023-12-02,80682.26,0.2065,24,Online,Active
100278,5221,Mortgage,2024-07-27,283562.09,0.0681,180,Partner,Active
100279,518,Personal,2024-06-25,48010.93,0.1651,36,Branch,Active
100280,2178,SME,2025-11-22,33645.32,0.171,18,Online,Active
100281,3680,Auto,2023-07-01,68868.91,0.0958,48,Online,Active
100282,6715,SME,2024-10-18,27372.35,0.1366,36,Broker,Active
100283,4057,SME,2022-10-13,29603.54,0.1337,24,Broker,Active
100284,1185,Auto,2022-08-23,73724.6,0.1244,48,Partner,Active
100285,3507,SME,2023-10-21,16851.06,0.1782,36,Partner,Active
100286,7805,Personal,2024-01-04,48868.9,0.2172,12,Broker,Active
100287,4163,Auto,2023-11-13,48836.2,0.1221,36,Online,Active
100288,3240,Personal,2024-01-18,26872.85,0.0988,24,Online,Active
100289,7223,Auto,2022-07-26,51822.69,0.1209,48,Partner,Active
100290,1648,Personal,2024-03-04,29224.99,0.1907,12,Online,Active
100291,5213,Personal,2025-12-01,31727.8,0.2221,48,Online,Active
100292,4598,Personal,2024-07-05,72233.11,0.1855,36,Partner,Active
100293,3899,SME,2023-10-31,121803.99,0.1352,18,Branch,Active
100294,7149,Auto,2023-09-27,49395.53,0.1096,36,Broker,Active
100295,7537,Personal,2023-03-08,48450.5,0.1481,12,Partner,Active
100296,527,Personal,2023-04-30,40993.0,0.1351,24,Branch,Active
100297,1692,Personal,2024-08-06,20459.66,0.0969,36,Branch,Active
100298,5518,Personal,2023-01-09,27965.46,0.1498,12,Online,Active
100299,4026,Personal,2024-02-06,33159.43,0.2137,24,Online,Active
100300,3701,Auto,2023-09-10,53440.37,0.137,24,Online,Active
100301,5761,Personal,2024-06-08,18386.59,0.2656,24,Branch,Active
100302,3081,SME,2023-05-07,87891.14,0.1615,24,Partner,Active
100303,1499,Mortgage,2025-04-30,169926.39,0.0889,300,Partner,Active
100304,3673,Auto,2023-08-25,55506.58,0.1166,24,Partner,Active
100305,1106,Auto,2024-12-15,39102.35,0.136,24,Partner,Active
100306,681,Auto,2025-07-29,66375.56,0.0873,36,Branch,Active
100307,946,Personal,2022-04-10,31032.01,0.2181,48,Branch,Active
100308,6231,Auto,2023-01-07,36367.23,0.0895,24,Branch,Active
100309,2833,SME,2023-09-13,118867.17,0.1672,36,Online,Active
100310,111,Personal,2022-09-25,41919.66,0.1673,12,Broker,Active
100311,5955,Personal,2022-11-16,63507.13,0.1938,24,Partner,Active
100312,5346,Personal,2023-03-14,20216.93,0.1574,48,Broker,Active
100313,7222,Auto,2022-10-14,92851.01,0.0816,36,Branch,Active
100314,26,Personal,2023-01-01,33127.88,0.1845,36,Branch,Active
100315,4720,Mortgage,2025-11-09,260692.49,0.0657,240,Online,Active
100316,7130,Auto,2025-08-07,55143.4,0.1309,60,Broker,Active
100317,4922,Personal,2025-04-20,39619.54,0.1416,36,Partner,Active
100318,7921,Personal,2024-11-05,63925.63,0.1864,24,Partner,Active
100319,6990,Auto,2026-01-07,53352.14,0.1136,36,Online,Active
100320,6079,Auto,2025-12-28,49385.67,0.1206,36,Online,Active
100321,4790,SME,2023-01-24,74730.46,0.1738,24,Online,Active
100322,1290,Personal,2023-06-19,35452.75,0.1814,48,Broker,Active
100323,3814,Personal,2024-10-20,23116.54,0.0979,48,Branch,Active
100324,1945,Personal,2024-03-06,27291.36,0.1352,36,Partner,Active
100325,7284,Auto,2024-12-23,73561.69,0.0964,24,Broker,Active
100326,5379,Mortgage,2023-01-17,218449.94,0.0675,300,Branch,Active
100327,6638,Personal,2023-06-06,30997.95,0.2002,12,Broker,Active
100328,817,Personal,2022-08-06,21699.18,0.1891,24,Partner,Active
100329,1982,Auto,2024-11-21,39566.64,0.1394,48,Broker,Active
100330,3022,Mortgage,2024-01-13,146446.29,0.0695,240,Online,Active
100331,38,Personal,2022-10-01,17238.42,0.1586,48,Branch,Active
100332,3974,Personal,2022-07-31,67346.79,0.1565,36,Broker,Active
100333,3969,Auto,2024-06-11,38957.61,0.1415,60,Online,Active
100334,2514,Mortgage,2023-09-24,138877.33,0.0831,120,Online,Active
100335,868,Personal,2024-10-23,22282.24,0.1063,12,Partner,Active
100336,3174,Personal,2023-06-06,31199.17,0.1215,36,Online,Active
100337,2683,SME,2022-07-15,70439.2,0.1557,18,Broker,Active
100338,3149,Mortgage,2022-11-12,212893.6,0.0767,240,Broker,Active
100339,3148,Mortgage,2025-03-14,250452.68,0.0695,300,Broker,Active
100340,6619,Personal,2025-11-20,32102.21,0.1626,24,Broker,Active
100341,1174,Auto,2024-11-26,60842.54,0.1137,24,Branch,Active
100342,67,Personal,2024-03-16,17271.52,0.1649,36,Broker,Active
100343,7264,Personal,2022-04-16,48630.27,0.1089,24,Online,Active
100344,4769,Personal,2024-02-10,43612.44,0.1291,12,Branch,Active
100345,5164,Mortgage,2025-03-24,270775.06,0.0854,240,Online,Active
100346,5114,Personal,2024-06-18,24302.28,0.1908,24,Online,Active
100347,6411,Mortgage,2025-07-17,274403.36,0.0579,300,Online,Active
100348,4400,Mortgage,2024-07-29,190028.07,0.0577,180,Online,Active
100349,1032,Personal,2025-02-24,34060.57,0.1106,24,Partner,Active
100350,6556,Auto,2024-08-22,52161.96,0.1412,48,Broker,Active
100351,5631,Auto,2025-01-16,38433.86,0.1333,36,Partner,Active
100352,7370,Personal,2025-08-20,13156.75,0.1703,24,Broker,Active
100353,5129,Personal,2022-08-07,28135.98,0.2819,36,Broker,Active
100354,5330,Personal,2022-01-19,27660.07,0.1709,12,Broker,Active
100355,3241,Auto,2025-10-15,40819.93,0.1019,48,Broker,Active
100356,6278,Auto,2026-01-09,86739.97,0.1023,48,Broker,Active
100357,4722,Personal,2024-09-23,40139.4,0.16,24,Broker,Active
100358,1445,Personal,2024-09-13,46968.33,0.1616,24,Broker,Active
100359,2002,Mortgage,2022-06-06,220137.7,0.0707,240,Broker,Active
100360,98,Personal,2023-08-12,24599.01,0.1175,12,Partner,Active
100361,7324,Personal,2022-08-09,56802.77,0.2043,36,Online,Active
100362,5388,Personal,2025-09-27,12850.76,0.1493,24,Partner,Active
100363,3113,Auto,2026-01-20,34976.34,0.0999,60,Online,Active
100364,2715,Personal,2023-02-26,13178.3,0.2094,36,Online,Active
100365,5041,Personal,2024-07-06,57938.44,0.2637,24,Broker,Active
100366,322,Mortgage,2025-12-02,149160.06,0.0747,300,Branch,Active
100367,1826,Personal,2022-06-29,24451.62,0.2074,24,Partner,Active
100368,541,Personal,2025-10-26,26107.9,0.1543,36,Partner,Active
100369,3419,Personal,2025-10-14,27782.7,0.1806,24,Partner,Active
100370,7140,Mortgage,2025-01-18,309460.07,0.0625,180,Online,Active
100371,1081,Personal,2024-05-23,15141.28,0.1286,36,Broker,Active
100372,1397,Personal,2024-09-08,27451.59,0.1404,24,Partner,Active
100373,2692,SME,2022-10-29,75476.57,0.2291,18,Broker,Active
100374,3625,Personal,2023-01-17,28553.58,0.0914,12,Online,Active
100375,2062,Personal,2024-01-05,25426.6,0.1705,36,Branch,Active
100376,5144,SME,2022-01-15,26406.07,0.1408,36,Broker,Active
100377,1835,Mortgage,2022-06-18,162881.78,0.0867,180,Broker,Active
100378,6883,Mortgage,2023-06-27,274887.82,0.08,240,Partner,Active
100379,1139,SME,2023-11-09,37074.2,0.1556,36,Partner,Active
100380,3376,Auto,2022-03-29,69840.66,0.11,36,Online,Active
100381,3864,Mortgage,2022-07-01,227923.09,0.0731,240,Partner,Active
100382,1794,Personal,2025-02-13,52286.35,0.1023,24,Branch,Active
100383,6364,Personal,2023-10-21,12743.81,0.1856,12,Broker,Active
100384,5558,Personal,2023-01-15,14915.43,0.1725,12,Partner,Active
100385,4913,Personal,2022-02-16,41508.22,0.1071,48,Online,Active
100386,2261,Auto,2025-07-11,51188.99,0.1453,36,Branch,Active
100387,1907,Personal,2023-12-31,19836.58,0.1992,12,Branch,Active
100388,1264,Personal,2023-02-24,63751.2,0.1263,36,Branch,Active
100389,5383,Personal,2023-10-28,32021.01,0.2502,24,Branch,Active
